iter	Passed	Remaining
0	1357	18794541	1796	12438545
2	2834	13080678
3	3889	13462254
4	4417	12231463
5	5460	12597928
6	6535	12923884
7	7757	13420601
8	8744	13447373
9	9619	13312747
10	10669	13422536111	11131	1283517812	12484	13287558
13	13696	13534819
14	14464	13339780
15	15780	13643202
16	16852	13711706
17	18185	13973625
18	19427	14140821
19	20789	14375190
20	21992	14481544
21	23071	14500402
22	24238	14570788
23	25440	14654795
24	26563	14688588
25	27798	14779257
26	29276	14987650
27	30455	15033208
28	31607	15062496
29	32786	15102397
30	33834	15081514
31	34935	15084308
32	36217	15163074
33	37461	15221446
34	38711	15279004
35	39986	15342774
36	41352	15436597
37	42439	15424557
38	43797	15508965
39	44791	15463241
40	45952	15476040
41	47329	15559027
42	48484	15566898
43	49600	15562256
44	50697	15551838
45	51830	15552637
46	53152	15608666
47	54320	15618284
48	55489	15627553
49	56813	15679487
50	57991	15689413
51	59184	15703215
52	60360	15711981
53	61497	15710435
54	62902	15775960
55	64130	15795510
56	65256	15789855
57	66321	15769687
58	67576	15794462
59	69081	15876155
60	70260	15881192
61	71420	15881743
62	72499	15864662
63	73621	15857349
64	74898	15883103
65	76228	15918965
66	77546	15951493
67	78677	15944836
68	79756	15928233
69	81015	15947224
70	82240	15959268
71	83588	15994470
72	84826	16007848
73	86012	16011103
74	86154	15822646
75	87594	15874126
76	88837	15889137
77	89991	15888175
78	91071	15874135
79	91253	15705882
80	92409	15707259
81	93615	15717135
82	94968	15751120
83	95513	15651627
84	96653	15651062
85	97756	15644416
86	99040	15666689
87	100405	15700887
88	101746	15730708
89	103057	15755259
90	104425	15787753
91	105794	15819728
92	107110	15843166
93	108389	15860601
94	109872	15907194
95	111135	15921308
96	112326	15924888
97	113681	15951324
98	114975	15968870
99	116251	15983430
100	117624	16010942
101	118939	16030070
102	120440	16073508
103	121904	16111275
104	123166	16121963
105	124509	16142804
106	125648	16137050
107	126869	16141778
108	128010	16136338
109	129270	16145833
110	130369	16135224
111	131586	16139328
112	132883	16152995
113	134011	16145985
114	135098	16134327
115	136351	16142411
116	137642	16154741
117	138917	16165006
118	140182	16173992
119	141486	16187266
120	141567	16061474
121	142967	16086149
122	144269	16099544
123	145303	16083017
124	146498	16084345
125	147657	16081741
126	148805	16078026
127	150030	16082597
128	151122	16072917
129	152254	16067565
130	153219	16044772
131	154412	16045988
132	155634	16050231
133	156794	16048045
134	157931	16043509
135	159168	16049061
136	160319	16045959
137	161401	16036080
138	162658	16043506
139	164016	16060772
140	164525	15995098
141	165699	15994637
142	167109	16016770
143	168160	16004447
144	168642	159384145145	169792	159360146146	171021	159410147147	172237	159448148148	173469	159498149149	174742	159586150	175861	15953353
151	177142	15962631
152	178503	15978939
153	179996	16006858
154	181241	16012371
155	182310	16002452
156	183479	16001251
157	184628	15998445
158	185824	15999608
159	186919	15992129
160	188090	15991188
161	189304	15993913
162	190684	16010491
163	191930	16015625
164	192939	16001139
165	194073	15997016
166	195258	15997200
167	196661	16015071
168	197827	16013470
169	199027	16014710
170	200191	16013014
171	201475	16020810
172	202883	16038315
173	204080	16039097
174	205316	16042820
175	206629	16052541
176	206704	15966496
177	207884	15966233
178	209185	15975200
179	210517	15986441
180	211662	15983477
181	212935	15990032
182	214183	15994701
183	215312	15990444
184	216633	16000421
185	217901	16006417
186	219035	16002476
187	220235	16003420
188	221414	16002797
189	222442	15991309
190	223738	15999084
191	224897	15997039
192	225947	15987224
193	227058	15981859
194	228250	15982240
195	229422	15981176
196	230688	15986563
197	231841	15984210
198	233031	15984287
199	234169	15980876
200	235296	15976764
201	236578	15983082
202	237712	15979440
203	238991	15985472
204	240316	15994537
205	241673	16005611
206	242846	16004394
207	244097	16008317
208	245286	16008165
209	246613	16016931
210	247846	16019555
211	247996	15952512
212	248364	15900020
213	249627	15905020
214	250862	15908199
215	252127	15913216
216	253240	15908633
217	254644	15922284
218	255642	15910527
219	256861	15912548
220	257777	15895919
