iter	Passed	Remaining
0	4	79856
1	12	108870
2	15	95837
3	19	89276
4	23	86161
5	31	94447
6	34	89933
7	38	87432
8	42	85154
9	46	83270
10	49	81543
11	54	81928
12	57	80512
13	61	79848
14	65	78869
15	68	77877
16	72	76920
17	78	78425
18	81	77500
19	84	76522
20	88	76197
21	91	75566
22	95	74848
23	98	74519
24	102	74142
25	105	73436
26	109	73552
27	113	72999
28	116	72469
29	119	72011
30	123	71761
31	126	71402
32	130	71319
33	133	71155
34	137	70810
35	140	70534
36	144	70490
37	147	70280
38	151	70001
39	154	69848
40	159	70436
41	164	70802
42	168	70681
43	171	70516
44	175	70436
45	179	70490
46	183	70517
47	187	70516
48	190	70358
49	194	70198
50	198	70171
51	201	70106
52	205	70022
53	209	70171
54	214	70357
55	219	70625
56	223	70627
57	227	70720
58	230	70571
59	235	70795
60	239	70773
61	243	70759
62	246	70626
63	250	70607
64	255	70840
65	259	70932
66	263	70881
67	266	70754
68	270	70809
69	276	71195
70	280	71171
71	283	71069
72	287	70935
73	290	70824
74	294	70748
75	298	70841
76	302	70749
77	305	70665
78	309	70647
79	313	70579
80	316	70538
81	319	70329
82	323	70330
83	327	70367
84	331	70355
85	335	70345
86	340	70435
87	343	70392
88	347	70357
89	351	70444
90	355	70408
91	359	70395
92	363	70453
93	368	70546
94	372	70650
95	376	70635
96	380	70595
97	383	70526
98	387	70532
99	392	70675
100	396	70675
101	400	70618
102	404	70729
103	408	70770
104	412	70747
105	417	70824
106	421	70871
107	426	71009
108	430	71072
109	435	71217
110	440	71370
111	444	71407
112	449	71520
113	452	71489
114	458	71692
115	462	71665
116	465	71647
117	468	71445
118	471	71295
119	475	71212
120	479	71211
121	483	71214
122	487	71304
123	491	71335
124	495	71342
125	500	71448
126	505	71608
127	510	71715
128	514	71728
129	521	72087
130	526	72301
131	530	72192
132	533	72063
133	537	72101
134	541	72101
135	544	72008
136	552	72424
137	555	72329
138	559	72329
139	562	72193
140	566	72195
141	570	72192
142	574	72208
143	577	72090
144	581	72066
145	585	72070
146	589	72021
147	592	71912
148	597	72049
149	601	72048
150	606	72075
151	611	72213
152	615	72259
153	620	72318
154	623	72227
155	627	72245
156	632	72318
157	636	72282
158	640	72286
159	644	72242
160	647	72205
161	652	72230
162	656	72240
163	659	72160
164	663	72111
165	667	72109
166	671	72158
167	675	72171
168	680	72279
169	684	72255
170	689	72293
171	693	72263
172	697	72277
173	700	72244
174	705	72251
175	708	72221
176	712	72222
177	717	72221
178	721	72229
179	724	72192
180	728	72157
181	732	72155
182	736	72121
183	739	72064
184	744	72118
185	748	72127
186	752	72118
187	756	72135
188	760	72103
189	764	72139
190	768	72121
191	774	72281
192	779	72383
193	783	72349
194	787	72303
195	790	72232
196	795	72297
197	799	72305
198	803	72331
199	808	72349
200	813	72429
201	817	72472
202	821	72451
203	825	72456
204	829	72456
205	832	72330
206	836	72306
207	839	72244
208	842	72153
209	845	72074
210	849	72067
211	853	72036
212	858	72163
213	864	72311
214	870	72474
215	876	72623
216	880	72627
217	884	72602
218	888	72602
219	892	72566
220	896	72576
221	900	72547
222	904	72532
223	908	72496
224	911	72470
225	916	72478
226	919	72411
227	924	72459
228	928	72476
229	933	72550
230	938	72598
231	941	72574
232	945	72524
233	949	72522
234	954	72568
235	958	72544
236	963	72659
237	968	72690
238	972	72689
239	976	72665
240	980	72677
241	987	72887
242	991	72891
243	996	72949
244	1000	72963
245	1005	72974
246	1008	72923
247	1012	72933
248	1017	72939
249	1021	72932
250	1025	72987
251	1029	72936
252	1034	72982
253	1039	73062
254	1043	73051
255	1048	73082
256	1051	73062
257	1055	73018
258	1059	72994
259	1063	72986
260	1067	72982
261	1071	72994
262	1075	72993
263	1080	73028
264	1084	72997
265	1088	72984
266	1093	73032
267	1096	73006
268	1100	72990
269	1104	72975
270	1108	72972
271	1112	72960
272	1116	72947
273	1121	72963
274	1125	72952
275	1129	72986
276	1134	73004
277	1138	73046
278	1143	73040
279	1148	73111
280	1152	73096
281	1156	73096
282	1160	73072
283	1164	73056
284	1168	73081
285	1172	73057
286	1176	73033
287	1179	72968
288	1182	72914
289	1187	72941
290	1191	72952
291	1196	72979
292	1201	73067
293	1205	73047
294	1209	73057
295	1214	73056
296	1218	73041
297	1222	73030
298	1226	73031
299	1230	73021
300	1234	73004
301	1238	72992
302	1242	72990
303	1246	72979
304	1250	72975
305	1254	72964
306	1258	72957
307	1262	72955
308	1266	72956
309	1270	72960
310	1278	73130
311	1282	73130
312	1285	73102
313	1289	73076
314	1293	73058
315	1298	73093
316	1302	73077
317	1306	73060
318	1309	73039
319	1314	73039
320	1317	73021
321	1321	73009
322	1325	73003
323	1329	72993
324	1333	72985
325	1338	73007
326	1343	73044
327	1348	73101
328	1352	73075
329	1356	73063
330	1363	73245
331	1368	73247
332	1372	73234
333	1376	73235
334	1379	73203
335	1383	73165
336	1387	73171
337	1391	73150
338	1394	73105
339	1399	73132
340	1403	73097
341	1406	73058
342	1410	73034
343	1413	72992
344	1416	72936
345	1420	72898
346	1423	72859
347	1427	72832
348	1431	72824
349	1434	72784
350	1438	72756
351	1443	72791
352	1447	72811
353	1451	72782
354	1454	72736
355	1458	72707
356	1462	72692
357	1465	72656
358	1469	72651
359	1473	72621
360	1476	72591
361	1480	72563
362	1485	72600
363	1489	72611
364	1493	72601
365	1497	72569
366	1501	72561
367	1504	72528
368	1508	72517
369	1511	72476
370	1515	72444
371	1519	72421
372	1522	72398
373	1526	72388
374	1531	72410
375	1535	72418
376	1539	72405
377	1543	72404
378	1547	72369
379	1550	72336
380	1554	72331
381	1558	72335
382	1562	72324
383	1566	72297
384	1570	72293
385	1573	72259
386	1577	72244
387	1581	72218
388	1584	72188
389	1588	72172
390	1592	72147
391	1596	72131
392	1600	72127
393	1603	72096
394	1608	72123
395	1612	72109
396	1616	72089
397	1619	72075
398	1623	72064
399	1628	72078
400	1632	72098
401	1636	72079
402	1639	72045
403	1644	72040
404	1647	72008
405	1651	71985
406	1653	71922
407	1657	71893
408	1660	71861
409	1664	71836
410	1667	71812
411	1671	71808
412	1675	71803
413	1679	71789
414	1684	71797
415	1687	71782
416	1692	71785
417	1696	71797
418	1701	71834
419	1705	71821
420	1709	71835
421	1714	71839
422	1717	71820
423	1721	71796
424	1724	71762
425	1728	71728
426	1731	71675
427	1734	71660
428	1738	71657
429	1742	71629
430	1746	71618
431	1749	71582
432	1752	71535
433	1756	71506
434	1760	71523
435	1766	71586
436	1770	71573
437	1773	71530
438	1776	71501
439	1780	71488
440	1783	71464
441	1787	71444
442	1791	71421
443	1794	71386
444	1797	71356
445	1802	71377
446	1806	71371
447	1810	71365
448	1814	71354
449	1818	71335
450	1821	71305
451	1824	71282
452	1828	71250
453	1831	71228
454	1835	71203
455	1838	71171
456	1843	71185
457	1846	71162
458	1850	71139
459	1853	71110
460	1857	71082
461	1861	71093
462	1865	71080
463	1869	71076
464	1873	71069
465	1877	71065
466	1881	71059
467	1885	71054
468	1888	71037
469	1892	71016
470	1896	70995
471	1899	70969
472	1902	70936
473	1906	70915
474	1909	70893
475	1913	70877
476	1916	70845
477	1920	70825
478	1923	70790
479	1927	70771
480	1931	70768
481	1934	70744
482	1938	70736
483	1943	70747
484	1946	70723
485	1949	70686
486	1952	70655
487	1956	70650
488	1961	70664
489	1965	70666
490	1970	70709
491	1974	70686
492	1979	70739
493	1983	70722
494	1987	70714
495	1991	70710
496	1995	70699
497	1998	70670
498	2002	70670
499	2006	70644
500	2008	70598
501	2012	70583
502	2016	70568
503	2019	70546
504	2023	70525
505	2027	70535
506	2031	70515
507	2034	70487
508	2038	70488
509	2042	70485
510	2047	70495
511	2051	70483
512	2055	70502
513	2060	70513
514	2063	70494
515	2067	70479
516	2072	70503
517	2076	70498
518	2079	70478
