iter	Logloss
0	0.6862626593
1	0.6862276385
2	0.6860898496
3	0.6846516147
4	0.6835786751
5	0.6834344862
6	0.6804448233
7	0.6732979691
8	0.6718314856
9	0.6716944707
10	0.6708044027
11	0.6707773231
12	0.6642770192
13	0.6642628002
14	0.6638750115
15	0.663486784
16	0.6606772237
17	0.6547838368
18	0.6518393585
19	0.6495179416
20	0.6471630092
21	0.647069684
22	0.6466771558
23	0.6464790947
24	0.6462223584
25	0.6431446844
26	0.6428995502
27	0.6409033971
28	0.6407405228
29	0.6407255285
30	0.6397463972
31	0.6369554035
32	0.6369418827
33	0.636921484
34	0.6352491944
35	0.6352477871
36	0.6333561158
37	0.6309714931
38	0.6308119776
39	0.6305523337
40	0.6277599226
41	0.6265268721
42	0.6246222158
43	0.6227352703
44	0.6208818462
45	0.6208802679
46	0.6192259408
47	0.6189510004
48	0.618746847
49	0.6177372171
50	0.6177367624
51	0.616198821
52	0.6161136911
53	0.6160707937
54	0.6139904807
55	0.6102972707
56	0.6100906256
57	0.6085706617
58	0.607194194
59	0.6071106346
60	0.6057442999
61	0.6054731171
62	0.6034563957
63	0.6021711067
64	0.6021684025
65	0.6021656983
66	0.6021625862
67	0.6019850457
68	0.6016551699
69	0.6003395055
70	0.5991298332
71	0.5973492756
72	0.5961952196
73	0.596191593
74	0.5961764454
75	0.5932481396
76	0.5919250896
77	0.5916998926
78	0.5916835698
79	0.5904896867
80	0.5878156265
81	0.587647663
82	0.5873712478
83	0.587311286
84	0.5866732088
85	0.5866717074
86	0.5859312956
87	0.5859294549
88	0.5841353502
89	0.5831702074
90	0.5830024245
91	0.5806091389
92	0.5783802467
93	0.5763014964
94	0.5754251938
95	0.5754254029
96	0.5754231527
97	0.5747094732
98	0.5739577355
99	0.5731743864
100	0.5723223285
101	0.5722475727
102	0.57215974
103	0.5720559992
104	0.5720527698
105	0.5718107213
106	0.5716969163
107	0.5715857063
108	0.5708958044
109	0.5703400251
110	0.5703386748
111	0.5690534526
112	0.5678751758
113	0.5678491527
114	0.5666315572
115	0.5656338545
116	0.5656326497
117	0.5642991806
118	0.5642986706
119	0.5636470878
120	0.5630049711
121	0.5630051192
122	0.5628364125
123	0.5613831827
124	0.561319232
125	0.5602958611
126	0.5600609367
127	0.5599593312
128	0.5599559883
129	0.5599554447
130	0.5594380305
131	0.5592433765
132	0.5592433898
133	0.5592341057
134	0.5592330379
135	0.5586495009
136	0.558080463
137	0.5578076429
138	0.5578038207
139	0.5571435422
140	0.5571426833
141	0.5558695685
142	0.5552626878
143	0.5552365598
144	0.5546833151
145	0.5542468692
146	0.5541895334
147	0.553472897
148	0.5529779028
149	0.5524894222
150	0.5520414242
151	0.5519215913
152	0.5519183207
153	0.5514033346
154	0.5513961079
155	0.5513218081
156	0.5499804488
157	0.5496421558
158	0.5496399672
159	0.5491751688
160	0.5491735024
161	0.5491550122
162	0.5488436974
163	0.5483182981
164	0.5483173246
165	0.5483118404
166	0.5480732522
167	0.5475110679
168	0.5472248246
169	0.546810264
170	0.5466010709
171	0.5464320924
172	0.5460440198
173	0.545559546
174	0.54555813
175	0.5455322576
176	0.5444616931
177	0.5444519712
178	0.5443427384
179	0.5443423311
180	0.5441356788
181	0.5440595069
182	0.5435122663
183	0.5435106786
184	0.5423274127
185	0.5423177515
186	0.5414924331
187	0.5413173814
188	0.5413172409
189	0.5407332274
190	0.5405909446
191	0.5402316235
192	0.5402308061
193	0.5402155974
194	0.5398582008
195	0.5398569995
196	0.5392579615
